NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1987-12-16,126.5814147366938,8.52%
1987-12-17,123.69535848069718,-2.28%
1987-12-18,135.68143871747674,9.69%
1987-12-21,139.01920210992665,2.46%
1987-12-22,137.80973505157027,-0.87%
1987-12-23,144.46594525456112,4.83%
1987-12-24,144.81266352317206,0.24%
1987-12-28,129.95488424569461,-10.26%
1987-12-29,133.93150370361286,3.06%
1987-12-30,141.56559941471878,5.70%
1987-12-31,138.80507022613176,-1.95%
1988-01-04,153.62945172628264,10.68%
1988-01-05,160.68104356051902,4.59%
1988-01-06,166.27274387642507,3.48%
1988-01-07,173.85478099719006,4.56%
1988-01-08,141.3613224288152,-18.69%
1988-01-11,143.2272918848756,1.32%
1988-01-12,134.67662255934852,-5.97%
1988-01-13,134.19178671813486,-0.36%
1988-01-14,135.48002787062896,0.96%
1988-01-15,145.35652190239782,7.29%
1988-01-18,143.21978103043256,-1.47%
1988-01-19,140.46996123464825,-1.92%
1988-01-20,125.6784743166398,-10.53%
1988-01-21,126.84728412778455,0.93%
1988-01-22,130.34826916971141,2.76%
1988-01-25,137.23065778187217,5.28%
1988-01-26,132.41386169372845,-3.51%
1988-01-27,132.930275754334,0.39%
1988-01-28,138.6329845841949,4.29%
1988-01-29,142.50084485409394,2.79%
1988-02-01,141.13283674349464,-0.96%
1988-02-02,142.0643134660017,0.66%
1988-02-03,135.67141936003162,-4.50%
1988-02-04,137.7471920762401,1.53%
1988-02-05,139.400158381155,1.20%
1988-02-08,139.06559800104023,-0.24%
1988-02-09,141.86081652086114,2.01%
1988-02-10,150.7129314717629,6.24%
1988-02-11,152.70234216719018,1.32%
1988-02-12,155.4509843261996,1.80%
1988-02-16,160.0212432653899,2.94%
1988-02-17,160.78934523306376,0.48%
1988-02-18,160.59639801878407,-0.12%
1988-02-19,164.4507115712349,2.40%
1988-02-22,173.6763964903812,5.61%
1988-02-23,176.9588803840494,1.89%
1988-02-24,180.62192920799922,2.07%
1988-02-25,175.31164448928405,-2.94%
1988-02-26,174.89089654250978,-0.24%
1988-02-29,181.02956701115187,3.51%
1988-03-01,180.97525814104853,-0.03%
1988-03-02,188.7933892927418,4.32%
1988-03-03,193.2677926189798,2.37%
1988-03-04,196.16680950826446,1.50%
1988-03-07,199.7566621222657,1.83%
1988-03-08,203.6519170336499,1.95%
1988-03-09,209.15051879355843,2.70%
1988-03-10,199.48776482529604,-4.62%
1988-03-11,197.6325286124208,-0.93%
1988-03-14,202.01997074761655,2.22%
1988-03-15,198.9896711864023,-1.50%
1988-03-16,206.03390554640094,3.54%
1988-03-17,208.81536327127736,1.35%
1988-03-18,208.06362796350075,-0.36%
1988-03-21,200.69817553359283,-3.54%
1988-03-22,204.43116159851766,1.86%
1988-03-23,201.85532896237635,-1.26%
1988-03-24,186.71617929019814,-7.50%
1988-03-25,180.66657508119573,-3.24%
1988-03-28,180.558175136147,-0.06%
1988-03-29,183.1040454055667,1.41%
1988-03-30,178.27009860685973,-2.64%
1988-03-31,181.79984655927555,1.98%
1988-04-04,175.9640714847228,-3.21%
1988-04-05,180.55673375047408,2.61%
1988-04-06,192.14847605725453,6.42%
1988-04-07,194.51190231275876,1.23%
1988-04-08,199.76372367520324,2.70%
1988-04-11,203.11975423294663,1.68%
1988-04-12,203.6681775693756,0.27%
1988-04-13,204.64578482170856,0.48%
1988-04-14,180.45665305578262,-11.82%
1988-04-15,180.02355708844874,-0.24%
1988-04-18,181.31972669948559,0.72%
1988-04-19,183.8219389279385,1.38%
1988-04-20,179.3550658119896,-2.43%
1988-04-21,176.66473982480974,-1.50%
1988-04-22,180.5336976269731,2.19%
1988-04-25,183.8916244028348,1.86%
1988-04-26,191.3392351911496,4.05%
1988-04-27,192.83168122564058,0.78%
1988-04-28,191.26974460771288,-0.81%
1988-04-29,188.63022213212645,-1.38%
1988-05-02,191.28990826418942,1.41%
1988-05-03,198.57805376905503,3.81%
1988-05-04,197.32701203031,-0.63%
1988-05-05,194.18951253902804,-1.59%
1988-05-06,192.55832063370022,-0.84%
1988-05-09,185.22184861755625,-3.81%
1988-05-10,183.2770192070719,-1.05%
1988-05-11,172.17043184312334,-6.06%
1988-05-12,174.907941709429,1.59%
1988-05-13,181.41451714101973,3.72%
1988-05-16,185.00652458041193,1.98%
1988-05-17,182.06492083958338,-1.59%
1988-05-18,170.15787501667464,-6.54%
1988-05-19,170.36206446669468,0.12%
1988-05-20,168.98213174451445,-0.81%
1988-05-23,162.34113396695503,-3.93%
1988-05-24,166.87045160463308,2.79%
1988-05-25,166.2697179788564,-0.36%
1988-05-26,168.76376374853922,1.50%
1988-05-27,168.0043268116708,-0.45%
1988-05-31,179.1430136792846,6.63%
1988-06-01,189.5153941713152,5.79%
1988-06-02,188.77628413404707,-0.39%
1988-06-03,193.75997803518592,2.64%
1988-06-06,199.4565213894204,2.94%
1988-06-07,199.51635834583723,0.03%
1988-06-08,210.3500966040162,5.43%
