Nasdaq-composite 2x, 1971-2025
Date, Close-price
1975-02-21,50.670936
1975-02-24,49.778237
1975-02-25,48.321778
1975-02-26,48.549743
1975-02-27,48.939539
1975-02-28,49.573803
1975-03-03,50.701097
1975-03-04,51.223010
1975-03-05,50.795059
1975-03-06,50.973769
1975-03-07,51.483301
1975-03-10,52.147601
1975-03-11,52.370454
1975-03-12,51.100275
1975-03-13,51.858542
1975-03-14,53.789002
1975-03-17,54.071841
1975-03-18,53.944230
1975-03-19,53.221952
1975-03-20,53.376688
1975-03-21,53.573909
1975-03-24,51.456921
1975-03-25,51.332462
1975-03-26,53.031344
1975-03-27,53.901631
1975-03-31,53.165772
1975-04-01,52.828479
1975-04-02,53.108662
1975-04-03,52.167567
1975-04-04,51.861313
1975-04-07,51.320007
1975-04-08,51.582337
1975-04-09,52.786594
1975-04-10,53.290657
1975-04-11,54.064412
1975-04-14,55.509719
1975-04-15,55.768138
1975-04-16,56.473244
1975-04-17,56.849732
1975-04-18,56.588221
1975-04-21,58.037714
1975-04-22,57.245090
1975-04-23,56.807770
1975-04-24,56.560906
1975-04-25,57.386825
1975-04-28,56.861411
1975-04-29,56.193137
1975-04-30,57.232948
1975-05-01,58.296866
1975-05-02,59.738292
1975-05-05,61.063329
1975-05-06,60.566634
1975-05-07,61.316128
1975-05-08,62.537776
1975-05-09,63.603933
1975-05-12,62.805236
1975-05-13,62.881549
1975-05-14,63.736769
1975-05-15,63.552269
1975-05-16,63.014927
1975-05-19,62.326991
1975-05-20,62.068530
1975-05-21,60.748569
1975-05-22,61.664113
1975-05-23,63.266956
1975-05-27,63.067859
1975-05-28,62.288016
1975-05-29,61.984098
1975-05-30,63.985052
1975-06-02,65.186216
1975-06-03,65.590327
1975-06-04,65.434419
1975-06-05,65.745863
1975-06-06,66.573150
1975-06-09,65.379435
1975-06-10,64.429990
1975-06-11,64.739007
1975-06-12,63.794251
1975-06-13,64.470705
1975-06-16,65.367097
1975-06-17,64.464516
1975-06-18,64.526331
1975-06-19,66.196115
1975-06-20,67.276548
1975-06-23,68.113164
