SP-500 3x, 1927-2025
Date,Close
1931-08-25,3.114733
1931-08-26,3.271607
1931-08-27,3.215240
1931-08-28,3.312742
1931-08-31,3.220392
1931-09-01,3.262216
1931-09-02,3.079419
1931-09-03,2.869766
1931-09-04,2.831073
1931-09-08,2.562664
1931-09-09,2.496955
1931-09-10,2.414766
1931-09-11,2.454949
1931-09-14,2.112533
1931-09-15,2.054918
1931-09-16,1.967511
1931-09-17,2.077372
1931-09-18,1.777154
1931-09-21,1.530586
1931-09-22,1.475972
1931-09-23,1.771167
1931-09-24,1.383724
1931-09-25,1.477008
1931-09-28,1.306584
1931-09-29,1.142328
1931-09-30,1.023099
1931-10-01,0.966202
1931-10-02,1.017908
1931-10-05,0.740869
1931-10-06,1.015545
1931-10-07,0.975579
1931-10-08,1.226955
1931-10-09,1.202694
1931-10-13,1.048795
1931-10-14,0.977144
1931-10-15,1.030605
1931-10-16,1.125974
1931-10-19,1.168361
1931-10-20,1.325405
1931-10-21,1.289126
1931-10-22,1.160925
1931-10-23,1.273701
1931-10-26,1.203201
1931-10-27,1.125174
1931-10-28,1.014926
1931-10-29,1.027021
1931-10-30,1.124542
1931-11-02,1.147184
1931-11-04,1.252069
1931-11-05,1.238183
1931-11-06,1.351894
1931-11-09,1.501563
1931-11-10,1.407715
1931-11-11,1.344069
1931-11-12,1.329551
1931-11-13,1.203442
1931-11-16,1.105775
1931-11-17,1.159844
1931-11-18,1.031824
1931-11-19,1.016665
1931-11-20,0.923604
1931-11-23,0.881409
1931-11-24,0.927751
1931-11-25,0.831874
1931-11-27,0.774263
1931-11-30,0.821666
1931-12-01,0.790530
1931-12-02,0.707094
1931-12-03,0.746941
1931-12-04,0.698334
1931-12-07,0.761044
1931-12-08,0.694688
1931-12-09,0.639236
1931-12-10,0.595553
1931-12-11,0.539329
1931-12-14,0.480918
1931-12-15,0.500731
1931-12-16,0.465581
1931-12-17,0.428593
1931-12-18,0.535186
1931-12-21,0.494855
1931-12-22,0.520357
1931-12-23,0.456333
1931-12-24,0.458055
1931-12-28,0.423528
1931-12-29,0.456275
1931-12-30,0.480350
1931-12-31,0.483908
1932-01-04,0.383789
1932-01-05,0.382266
1932-01-06,0.462770
1932-01-07,0.486825
1932-01-08,0.549010
1932-01-11,0.531713
1932-01-12,0.514784
1932-01-13,0.590253
1932-01-14,0.610375
1932-01-15,0.614490
1932-01-18,0.529756
1932-01-19,0.524154
1932-01-20,0.551969
1932-01-21,0.542375
1932-01-22,0.472207
1932-01-25,0.470482
1932-01-26,0.489416
1932-01-27,0.461146
1932-01-28,0.440777
1932-01-29,0.425956
1932-02-01,0.472629
1932-02-02,0.441618
1932-02-03,0.448201
1932-02-04,0.439891
1932-02-05,0.397215
1932-02-08,0.372708
1932-02-09,0.359502
1932-02-10,0.355205
1932-02-11,0.443296
1932-02-15,0.505532
1932-02-16,0.566196
1932-02-17,0.497022
1932-02-18,0.537464
1932-02-19,0.539315
1932-02-23,0.446543
1932-02-24,0.480767
1932-02-25,0.467080
1932-02-26,0.465402
1932-02-29,0.457031
1932-03-01,0.466955
1932-03-02,0.527351
1932-03-03,0.527351
1932-03-04,0.529168
1932-03-07,0.547373
1932-03-08,0.577162
1932-03-09,0.544384
1932-03-10,0.529553
1932-03-11,0.491338
1932-03-14,0.455007
1932-03-15,0.455007
1932-03-16,0.422154
1932-03-17,0.448702
1932-03-18,0.406433
1932-03-21,0.412514
1932-03-22,0.410979
1932-03-23,0.394131
1932-03-24,0.382218
1932-03-28,0.342829
1932-03-29,0.341474
1932-03-30,0.363098
1932-03-31,0.302581
1932-04-01,0.286438
1932-04-04,0.272076
1932-04-05,0.233924
1932-04-06,0.213069
1932-04-07,0.206217
1932-04-08,0.187064
1932-04-11,0.170031
1932-04-12,0.169190
1932-04-13,0.162490
1932-04-14,0.184499
1932-04-15,0.199554
1932-04-18,0.171579
1932-04-19,0.164010
1932-04-20,0.164010
1932-04-21,0.181145
1932-04-22,0.156760
1932-04-25,0.162284
1932-04-26,0.169550
1932-04-27,0.182017
1932-04-28,0.161115
1932-04-29,0.145084
1932-05-02,0.138365
1932-05-03,0.132580
1932-05-04,0.138201
1932-05-05,0.133867
1932-05-06,0.162856
1932-05-09,0.152427
1932-05-10,0.156263
1932-05-11,0.155483
1932-05-12,0.139935
1932-05-13,0.125459
1932-05-16,0.126131
1932-05-17,0.124782
1932-05-18,0.115407
1932-05-19,0.117313
1932-05-20,0.117313
1932-05-23,0.114101
1932-05-24,0.100233
1932-05-25,0.089844
1932-05-26,0.094131
1932-05-27,0.078657
1932-05-31,0.061069
1932-06-01,0.058200
1932-06-02,0.067724
1932-06-03,0.078671
1932-06-06,0.087358
1932-06-07,0.075986
1932-06-08,0.062826
1932-06-09,0.062826
1932-06-10,0.077260
1932-06-13,0.072549
1932-06-14,0.077968
1932-06-15,0.086491
1932-06-16,0.086491
1932-06-17,0.071794
1932-06-20,0.074470
1932-06-21,0.068987
1932-06-22,0.068987
1932-06-23,0.070289
1932-06-24,0.061503
1932-06-27,0.055085
1932-06-28,0.055085
1932-06-29,0.057691
1932-06-30,0.054620
1932-07-01,0.060909
1932-07-05,0.056936
1932-07-06,0.060732
1932-07-07,0.054791
1932-07-08,0.053313
1932-07-11,0.060204
1932-07-12,0.060204
1932-07-13,0.068842
1932-07-14,0.067557
1932-07-15,0.073480
1932-07-18,0.067668
1932-07-19,0.066822
1932-07-20,0.073112
1932-07-21,0.078451
1932-07-22,0.085442
1932-07-25,0.099244
1932-07-26,0.094898
1932-07-27,0.109132
1932-07-28,0.119526
1932-07-29,0.130559
1932-08-01,0.135755
1932-08-02,0.119758
1932-08-03,0.151585
1932-08-04,0.160836
1932-08-05,0.181558
1932-08-08,0.232020
1932-08-09,0.228273
1932-08-10,0.252366
1932-08-11,0.248408
